"","Cam_SD","cam_nights","num_detections","CHIPMUNK","COYOTE","DEERWHITETAILED","FISHER","OTHERSMALLMAMMAL","RACCOON","SQUIRRELRED","SQUIRRELGRAY","BOBCAT","PORCUPINE","WEASEL","FOXRED","BLACKBEAR","SKUNKSTRIPED","SQUIRRELFLYING","OPOSSUM","SNOWSHOEHARE","RIVEROTTER","MINK"
"56","C33 - SD1",75,53,0,2.66666666666667,62.6666666666667,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","C33 - SD23",96,46,30.2083333333333,0,14.5833333333333,1.04166666666667,14.5833333333333,2.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","C33 - SD32",8,3,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","C33 - SD38",44,26,0,6.81818181818182,34.0909090909091,4.54545454545455,0,11.3636363636364,2.27272727272727,0,0,0,0,2.27272727272727,0,0,0,0,0,4.54545454545455,0
"60","C34 - SD21",76,99,1.31578947368421,6.57894736842105,101.315789473684,0,0,0,11.8421052631579,3.94736842105263,0,0,0,0,1.31578947368421,0,5.26315789473684,0,0,0,0
"61","C35 - SD16",61,33,0,0,44.2622950819672,0,0,1.63934426229508,0,8.19672131147541,1.63934426229508,0,0,0,0,0,0,0,0,0,0
"62","C36 - SD32",80,98,25,20,21.25,1.25,0,0,36.25,13.75,0,20,0,0,1.25,0,5,0,0,0,0
"63","C37 - SD31",51,44,31.3725490196078,7.84313725490196,23.5294117647059,7.84313725490196,15.6862745098039,0,5.88235294117647,5.88235294117647,0,1.96078431372549,0,0,0,0,0,1.96078431372549,0,0,1.96078431372549
"64","C4 - SD12",57,20,0,0,10.5263157894737,0,3.50877192982456,3.50877192982456,0,21.0526315789474,0,0,0,0,0,0,0,0,0,0,0
"65","C4 - SD26",54,8,0,5.55555555555556,9.25925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","C4 - SD36",54,33,0,0,53.7037037037037,5.55555555555556,0,0,0,0,0,0,0,0,1.85185185185185,0,0,0,0,0,0
"67","C5 - SD34",68,14,0,0,16.1764705882353,0,0,4.41176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","C6 - SD41",113,40,0,1.76991150442478,32.7433628318584,0,0,0,0,0,0,0,0,0.884955752212389,0.884955752212389,0,0,0,0,0,0
"69","C7 - SD42",45,46,31.1111111111111,4.44444444444444,15.5555555555556,4.44444444444444,6.66666666666667,15.5555555555556,0,44.4444444444444,0,4.44444444444444,0,0,0,0,0,0,0,0,0
"70","C8 - SD11",70,5,0,0,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","C9 - SD25",15,1,0,0,6.66666666666667,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0
